meta_time,telemetry_name,telemetry_value
2025-09-06T18:40:03.8170Z,Laptrigger_lapdist_dls,2600.5
2025-09-06T18:40:03.8170Z,accy_can,-0.037
2025-09-06T18:40:03.8170Z,VBOX_Long_Minutes,-86.62020111083984
2025-09-06T18:40:03.8170Z,accx_can,0.109
2025-09-06T18:40:03.8180Z,accy_can,-0.033
2025-09-06T18:40:03.8180Z,VBOX_Lat_Min,33.53056716918945
2025-09-06T18:40:03.8180Z,pbrake_r,0.0
2025-09-06T18:40:03.8180Z,pbrake_f,0.0
2025-09-06T18:40:03.8180Z,aps,43.59
2025-09-06T18:40:03.8180Z,accx_can,0.082
2025-09-06T18:40:03.8180Z,Steering_Angle,-5.7
2025-09-06T18:40:03.8180Z,VBOX_Long_Minutes,-86.62027740478516
2025-09-06T18:40:03.8180Z,gear,3.0
2025-09-06T18:40:03.8200Z,nmot,6509.0
2025-09-06T18:40:03.8200Z,VBOX_Lat_Min,33.530555725097656
2025-09-06T18:40:03.8200Z,pbrake_r,0.0
2025-09-06T18:40:03.8200Z,pbrake_f,0.0
2025-09-06T18:40:03.8200Z,Steering_Angle,-5.5
2025-09-06T18:40:03.8200Z,Laptrigger_lapdist_dls,2612.0
2025-09-06T18:40:03.8200Z,aps,48.04
2025-09-06T18:40:03.8200Z,VBOX_Long_Minutes,-86.62030792236328
2025-09-06T18:40:03.8200Z,accx_can,0.112
2025-09-06T18:40:03.8200Z,accy_can,-0.04
2025-09-06T18:40:03.8200Z,gear,3.0
2025-09-06T18:40:03.8210Z,VBOX_Long_Minutes,-86.6203842163086
2025-09-06T18:40:03.8210Z,nmot,6568.0
2025-09-06T18:40:03.8210Z,aps,74.48
2025-09-06T18:40:03.8210Z,speed,140.01
2025-09-06T18:40:03.8210Z,VBOX_Lat_Min,33.53052520751953
2025-09-06T18:40:03.8210Z,pbrake_f,0.0
2025-09-06T18:40:03.8210Z,pbrake_r,0.0
2025-09-06T18:40:03.8210Z,gear,3.0
2025-09-06T18:40:03.8210Z,accy_can,0.009
2025-09-06T18:40:03.8210Z,accx_can,0.14
2025-09-06T18:40:03.8210Z,Steering_Angle,-4.4
2025-09-06T18:40:03.8210Z,Laptrigger_lapdist_dls,2620.0
2025-09-06T18:40:05.0710Z,nmot,6602.0
2025-09-06T18:40:05.0710Z,pbrake_r,0.0
2025-09-06T18:40:05.0710Z,pbrake_f,0.0
2025-09-06T18:40:05.0710Z,accy_can,0.061
2025-09-06T18:40:05.0710Z,VBOX_Long_Minutes,-86.62047576904297
2025-09-06T18:40:05.0710Z,gear,3.0
2025-09-06T18:40:05.0710Z,Laptrigger_lapdist_dls,2628.0
2025-09-06T18:40:05.0710Z,speed,141.17000000000002
2025-09-06T18:40:05.0710Z,Steering_Angle,-3.0
2025-09-06T18:40:05.0710Z,aps,73.74
2025-09-06T18:40:05.0710Z,VBOX_Lat_Min,33.530494689941406
2025-09-06T18:40:05.0710Z,accx_can,0.172
2025-09-06T18:40:05.0720Z,speed,143.325
2025-09-06T18:40:05.0720Z,VBOX_Lat_Min,33.53042984008789
2025-09-06T18:40:05.0720Z,Steering_Angle,4.7
2025-09-06T18:40:05.0720Z,VBOX_Long_Minutes,-86.62065124511719
2025-09-06T18:40:05.0720Z,Laptrigger_lapdist_dls,2644.0
2025-09-06T18:40:05.0720Z,pbrake_f,0.0
2025-09-06T18:40:05.0720Z,accx_can,0.156
2025-09-06T18:40:05.0720Z,aps,69.07000000000001
2025-09-06T18:40:05.0720Z,nmot,6725.0
2025-09-06T18:40:05.0720Z,pbrake_r,0.0
2025-09-06T18:40:05.0720Z,gear,3.0
2025-09-06T18:40:05.0720Z,accy_can,0.232
